City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rio Grande,-32.035,-52.0986,63.95,85,0,6.98,BR,1635414053
Tanabe,33.7333,135.3667,67.21,45,20,16.11,JP,1635414054
Ulladulla,-35.35,150.4667,70.88,71,76,6.08,AU,1635413940
Chapleau,47.8405,-83.4034,38.1,79,67,4.79,CA,1635414054
Mount Vernon,40.9126,-73.8371,52.77,79,20,5.99,US,1635413975
Gualaquiza,-3.4,-78.55,61.12,99,98,1.28,EC,1635414054
Ossora,59.2353,163.0719,23.25,96,100,3.38,RU,1635414055
Nakamura,32.9833,132.9333,57.52,81,0,3.4,JP,1635414055
Mahon,39.8885,4.2658,66.76,68,40,4.61,ES,1635414055
Fasa,28.9383,53.6482,76.24,11,0,0.0,IR,1635414056
Coahuayana Viejo,18.7333,-103.6833,75.22,90,64,4.68,MX,1635414056
Navrongo,10.8956,-1.0921,90.16,48,95,7.16,GH,1635414056
Puteyets,65.1716,57.091,21.49,93,100,17.69,RU,1635414057
Villarrica,-25.75,-56.4333,65.79,70,20,3.67,PY,1635414057
Marsh Harbour,26.5412,-77.0636,77.32,72,7,5.32,BS,1635414057
County Wicklow,53.0,-6.4167,51.04,97,100,0.83,IE,1635414058
Yinchuan,38.4681,106.2731,56.53,31,2,2.57,CN,1635414058
Tingi,-11.3,35.0333,78.15,46,49,5.57,TZ,1635414058
Chaves,33.3834,-104.4505,52.21,28,1,11.5,US,1635414059
Viedma,-40.8135,-62.9967,69.64,31,67,9.8,AR,1635413888
Sinop Province,41.7711,34.8709,55.83,67,31,7.02,TR,1635413807
Souillac,-20.5167,57.5167,80.98,61,40,20.71,MU,1635414059
Michigan City,41.7075,-86.895,51.01,89,90,4.61,US,1635413871
Les Cayes,18.2,-73.75,76.21,84,14,4.14,HT,1635414060
Houndé,11.5,-3.5167,89.4,46,47,6.44,BF,1635414060
San Miguel de Tucumán,-26.8241,-65.2226,66.2,52,0,8.05,AR,1635414060
Mezen',65.8522,44.24,29.43,67,4,6.67,RU,1635414061
Nyurba,63.2842,118.3319,22.73,70,100,14.9,RU,1635414061
Ihiala,5.8538,6.8603,84.65,67,93,3.51,NG,1635414062
Omboué,-1.5746,9.2618,82.17,72,99,4.52,GA,1635413904
Yerbogachën,61.2767,108.0108,21.13,66,92,15.88,RU,1635413860
Ladário,-19.0047,-57.6017,76.33,75,85,2.71,BR,1635414063
Grand-Santi,4.25,-54.3833,70.95,97,85,1.7,GF,1635414063
Rafaela,-31.2503,-61.4867,69.06,57,100,1.99,AR,1635414063
Windhoek,-22.5594,17.0832,76.1,56,40,8.05,NA,1635414064
Adrar,20.5022,-10.0711,82.45,37,64,11.48,MR,1635414064
Korla,41.7597,86.1469,57.83,28,34,4.0,CN,1635414064
Celestún,20.8667,-90.4,77.56,85,16,8.39,MX,1635414064
Dharmadam,11.7833,75.4333,81.91,77,94,4.61,IN,1635414065
Kottagūdem,17.55,80.6333,86.49,62,99,5.35,IN,1635414065
Mount Hagen,-5.8581,144.2274,60.87,99,100,0.76,PG,1635414065
Plettenberg Bay,-34.0527,23.3716,74.93,57,100,6.71,ZA,1635414066
Rizhao,35.4275,119.4553,60.69,52,100,4.76,CN,1635414066
Saint-Joseph,-21.3667,55.6167,80.96,70,41,5.28,RE,1635414067
Waipawa,-41.4122,175.5153,57.45,94,100,6.2,NZ,1635414067
Severobaykal'sk,55.65,109.3167,23.67,71,85,11.97,RU,1635414068
Tefé,-3.3542,-64.7114,71.98,99,100,0.78,BR,1635414068
Vao,-22.6667,167.4833,71.53,75,93,14.5,NC,1635414068
Sindor,62.8629,51.8905,24.76,83,100,13.22,RU,1635414069
Praia da Vitória,38.7333,-27.0667,64.76,88,40,14.34,PT,1635414069
Podgorica,42.4411,19.2636,73.51,34,0,1.14,ME,1635414069
Klaksvík,62.2266,-6.589,47.32,83,52,20.87,FO,1635413864
Sakakah,29.9697,40.2064,81.97,15,1,4.61,SA,1635414070
Natal,-5.795,-35.2094,74.05,100,40,9.22,BR,1635414070
Huarmey,-10.0681,-78.1522,62.13,91,15,5.41,PE,1635414071
Vanimo,-2.6741,141.3028,79.79,84,84,3.94,PG,1635414071
Flinders,-34.5833,150.8552,76.21,63,86,4.76,AU,1635414071
Kasempa,-13.4584,25.8338,90.43,26,31,9.26,ZM,1635414071
Kannur,11.8675,75.3576,81.9,77,90,4.45,IN,1635414072
Onverwacht,5.5833,-55.1833,76.86,100,40,1.14,SR,1635414072
Toowoomba,-27.55,151.9667,79.54,69,68,3.78,AU,1635414073
Evensk,61.95,159.2333,10.27,95,100,5.01,RU,1635414073
Taltal,-25.4,-70.4833,58.6,75,18,1.52,CL,1635414073
Uspenka,48.3903,39.1619,49.32,51,99,7.52,UA,1635414074
Tessalit,20.1986,1.0114,95.07,12,94,13.27,ML,1635414074
Maragogi,-9.0122,-35.2225,78.69,76,17,9.51,BR,1635414074
Kota Kinabalu,5.9749,116.0724,82.38,83,40,5.75,MY,1635414075
Trincomalee,8.5711,81.2335,83.14,75,16,14.14,LK,1635414075
Lahat,-3.8,103.5333,80.26,85,100,2.77,ID,1635414075
Mulchén,-37.7167,-72.2333,46.0,92,3,4.21,CL,1635414076
Bom Jesus da Lapa,-13.255,-43.4181,76.23,58,5,6.22,BR,1635414076
Novoagansk,61.9449,76.6625,27.09,95,100,15.5,RU,1635414076
Portland,45.5234,-122.6762,56.64,92,90,8.01,US,1635413266
Darhan,49.4867,105.9228,42.67,61,63,8.23,MN,1635414077
Shangzhi,45.2167,127.9667,41.95,57,0,1.66,CN,1635414077
Ascension,30.2169,-90.9001,64.0,84,1,4.61,US,1635414077
Bukachacha,52.9833,116.9167,34.32,76,83,1.57,RU,1635414078
Taiyuan,37.8694,112.5603,58.86,44,0,4.47,CN,1635414078
Goundam,16.4145,-3.6708,95.09,24,12,10.6,ML,1635414078
Zhireken,52.8249,117.3076,33.51,75,70,1.36,RU,1635414079
Wajima,37.4,136.9,52.48,71,20,1.14,JP,1635414079
Neyshabur,36.2133,58.7958,55.9,29,0,4.72,IR,1635414079
Caraquet,47.7941,-64.9386,46.35,77,98,16.04,CA,1635414080
Saurimo,-9.6608,20.3916,89.91,38,49,2.98,AO,1635414080
Dashitou,43.3067,128.5114,38.91,62,0,2.21,CN,1635414080
Kasongo-Lunda,-6.4667,16.8167,86.05,61,99,2.42,CD,1635414081
Hofn,64.2539,-15.2082,44.62,87,90,12.66,IS,1635414081
Demirci,39.0461,28.6589,62.19,28,0,2.95,TR,1635414081
Iquitos,-3.7481,-73.2472,75.24,94,40,0.0,PE,1635414081
Curaçá,-8.9903,-39.9094,75.34,67,3,12.91,BR,1635414082
Shubarshi,48.5872,57.1869,44.56,30,64,13.91,KZ,1635414082
Shimanovsk,52.0,127.7,38.03,73,42,6.4,RU,1635414082
Vestmanna,62.1564,-7.1664,45.52,93,75,9.22,FO,1635414083
Ürümqi,43.801,87.6005,59.95,25,0,8.95,CN,1635413883
Coquimbo,-29.9533,-71.3436,51.53,100,90,2.3,CL,1635414083
Santa Isabel,-23.3156,-46.2214,70.66,98,100,2.46,BR,1635413827
Burns Lake,54.2331,-125.7533,26.02,95,26,4.54,CA,1635414084
Ca Mau,9.1769,105.15,81.99,81,79,6.42,VN,1635413790
Raja,8.4596,25.678,93.79,37,55,3.67,SS,1635414084
Salym,60.0625,71.4789,32.13,96,100,11.7,RU,1635414084
Syracuse,37.0881,15.2792,68.31,75,100,23.15,IT,1635414085
Muaná,-1.5283,-49.2167,76.05,90,38,3.69,BR,1635414085
Río Gallegos,-51.6226,-69.2181,48.25,66,0,0.0,AR,1635414085
Amontada,-3.3617,-39.8317,82.13,60,13,9.33,BR,1635414086
Andra,62.5147,65.8878,31.6,97,100,9.06,RU,1635414086
Lethem,3.3803,-59.7968,74.57,86,99,6.02,GY,1635414086
Chernyanka,50.9409,37.8069,44.96,84,100,13.89,RU,1635414087
Waingapu,-9.6567,120.2641,84.65,67,25,7.67,ID,1635414087
Bima,-8.4667,118.7167,83.95,74,37,1.63,ID,1635414087
Northam,51.0333,-4.2167,61.66,82,100,28.12,GB,1635414088
Ilhabela,-23.7781,-45.3581,71.2,96,100,10.04,BR,1635414088
Saint Anthony,45.0205,-93.218,48.15,94,90,1.01,US,1635414088
Dutlwe,-23.9833,23.9,71.04,56,100,9.86,BW,1635414088
Payson,40.0444,-111.7321,48.58,86,90,0.0,US,1635413562
Ngunguru,-35.6167,174.5,61.16,92,86,6.53,NZ,1635414089
Kangaatsiaq,68.3065,-53.4641,22.3,90,100,10.67,GL,1635414089
Derzhavīnsk,51.1,66.3167,44.22,25,76,20.36,KZ,1635414090
Simao,22.7886,100.9748,67.87,93,59,1.45,CN,1635414090
Gladstone,-23.85,151.25,76.93,73,0,9.22,AU,1635414090
Kaitangata,-46.2817,169.8464,51.48,98,66,5.06,NZ,1635414091
Tabuk,17.4189,121.4443,73.76,88,66,7.18,PH,1635414091
Glendive,47.1053,-104.7125,45.48,55,1,23.02,US,1635414091
Santa Vitória do Palmar,-33.5189,-53.3681,65.79,83,3,4.79,BR,1635414092
Kailua,21.4022,-157.7394,76.98,73,40,6.91,US,1635413807
Dudinka,69.4058,86.1778,-7.1,99,93,6.8,RU,1635414092
Kalevala,65.2,31.1667,30.13,85,95,10.71,RU,1635414093
Sanary-sur-Mer,43.1178,5.8001,68.94,65,92,3.0,FR,1635413835
Caculé,-14.5033,-42.2222,69.82,72,11,9.86,BR,1635414093
Kédougou,12.5579,-12.1743,73.98,94,40,4.61,SN,1635413830
Uruguaiana,-29.7547,-57.0883,69.73,64,0,9.22,BR,1635414093
Rosetta,31.4044,30.4164,82.22,57,99,12.37,EG,1635414094
Yulara,-25.2406,130.9889,93.04,10,30,19.57,AU,1635414094
Lufilufi,-13.8745,-171.5986,78.58,78,75,21.61,WS,1635414094
Morondava,-20.2833,44.2833,81.25,59,0,20.62,MG,1635414095
Blyznyuky,48.8578,36.5551,50.95,56,93,10.49,UA,1635414095
Brae,60.3964,-1.353,53.51,87,52,10.27,GB,1635414095
Bugiri,0.5714,33.7417,87.8,37,13,1.45,UG,1635414095
Soe,-9.8607,124.284,75.09,69,55,1.48,ID,1635414096
Buchanan,5.8808,-10.0467,82.36,76,27,1.7,LR,1635414096
Haimen,23.1935,116.6142,78.69,78,27,17.16,CN,1635414096
Bayir,37.2687,28.2167,68.52,34,0,4.7,TR,1635414097
Zemio,5.0314,25.1361,91.71,44,63,3.06,CF,1635414097
Värnamo,57.186,14.04,54.75,89,100,12.06,SE,1635414097
Jutaí,-5.1833,-68.9,71.42,97,100,0.67,BR,1635414098
Maumere,-8.6199,122.2111,83.75,74,90,1.97,ID,1635414098
Impruneta,43.687,11.2548,64.42,48,0,5.99,IT,1635414099
Pevek,69.7008,170.3133,6.51,92,100,4.72,RU,1635414099
Atlantis,-33.5667,18.4834,73.15,74,9,15.82,ZA,1635414099
Leer,8.3018,30.1418,95.54,36,41,4.5,SS,1635414099
Clyde River,70.4692,-68.5914,29.59,94,100,5.23,CA,1635414097
Sørland,67.667,12.6934,48.27,84,98,35.05,NO,1635414100
Gornyak,50.9942,81.4661,39.94,33,0,1.63,RU,1635414100
Rawson,-43.3002,-65.1023,59.63,56,8,14.23,AR,1635414100
Tieling,42.2931,123.8414,58.75,38,0,5.68,CN,1635414101
Balkhash,46.844,74.9804,54.21,47,0,6.71,KZ,1635414101
Port Moresby,-9.4431,147.1797,79.3,85,72,13.85,PG,1635414101
Ikere,7.4913,5.2322,81.05,72,99,2.42,NG,1635414101
Bonavista,48.6499,-53.1147,40.12,72,93,16.93,CA,1635414102
Kropotkin,45.4375,40.5756,54.5,43,0,10.76,RU,1635414102
Cuiluan,47.72,128.648,36.48,77,3,4.56,CN,1635414102
Rio Pardo de Minas,-15.6097,-42.5397,64.9,82,40,10.2,BR,1635414103
Mount Isa,-20.7333,139.5,92.97,31,45,9.22,AU,1635414103
Warangal,18.0,79.5833,81.93,61,95,8.81,IN,1635414103
Gimli,50.6336,-96.9907,46.06,100,100,4.61,CA,1635414103
Mombetsu,44.3525,143.3525,50.86,78,100,13.78,JP,1635414104
Talnakh,69.4865,88.3972,-8.97,99,100,6.49,RU,1635414104
La Santisima Trinidad,-14.8333,-64.9,76.98,83,29,0.0,BO,1635414104
Kaeo,-35.1,173.7833,61.32,95,66,4.0,NZ,1635414105
Zhalantun,48.0,122.7167,44.02,50,0,6.64,CN,1635414105
Vestmannaeyjar,63.4427,-20.2734,43.79,87,75,19.57,IS,1635414105
Saint-Paul,-21.0096,55.2707,82.49,60,5,14.14,RE,1635414106
Sol'vychegodsk,61.3305,46.9156,27.23,78,100,10.25,RU,1635414106
Poronaysk,49.2167,143.1167,41.45,87,100,17.49,RU,1635414106
Chu,43.5983,73.7614,59.5,37,100,8.21,KZ,1635414107
Chapais,49.7834,-74.8492,26.38,82,0,3.85,CA,1635414107
Luga,58.7372,29.8453,48.31,74,98,5.06,RU,1635414107
Bakel,14.905,-12.4568,91.35,25,66,9.71,SN,1635414108
San Quintín,30.4833,-115.95,63.19,70,0,1.59,MX,1635414108
De Haan,51.272,3.0429,56.03,85,0,1.99,BE,1635414108
Carutapera,-1.195,-46.02,76.73,91,28,5.82,BR,1635414109
Ampanihy,-24.7,44.75,76.17,36,8,21.03,MG,1635414109
Le Vauclin,14.5452,-60.8388,76.84,88,20,3.44,MQ,1635414109
Te Anau,-45.4167,167.7167,49.89,94,22,1.07,NZ,1635414110
Bhīmunipatnam,17.8833,83.4333,85.51,72,90,15.86,IN,1635414110
Mareeba,-17.0,145.4333,74.12,81,4,4.83,AU,1635414110
Tuatapere,-46.1333,167.6833,51.12,93,18,3.6,NZ,1635414111
Óbidos,-1.9175,-55.5181,73.58,91,50,2.15,BR,1635414111
Oriximiná,-1.7656,-55.8661,73.56,91,52,2.53,BR,1635414112
Emerald,-23.5333,148.1667,89.74,21,0,9.22,AU,1635414112
Stephenville,32.2207,-98.2023,59.0,44,1,8.05,US,1635414112
Bato,13.3528,123.3677,78.19,87,22,5.3,PH,1635414112
Ko Samui,9.5357,99.9357,87.71,70,20,12.66,TH,1635414113
Prince Rupert,54.3161,-130.3201,44.29,87,60,12.66,CA,1635414113
Lagoa,39.05,-27.9833,66.34,66,81,18.84,PT,1635414114
Mount Gambier,-37.8333,140.7667,53.51,94,90,12.66,AU,1635413872
Beisfjord,68.3751,17.5988,39.96,94,99,11.32,NO,1635414114
Trostberg,48.0279,12.5582,50.11,80,11,0.98,DE,1635414115
Saint-François,46.4154,3.9054,44.04,93,90,3.44,FR,1635414115
Cabedelo,-6.9811,-34.8339,74.07,63,62,13.91,BR,1635414116
Keetmanshoop,-26.5833,18.1333,79.72,38,40,21.65,NA,1635414116
Mbandaka,0.0487,18.2603,85.1,59,90,1.83,CD,1635414116
Brits,-25.6347,27.7802,72.82,48,99,9.93,ZA,1635414117
Breyten,-26.3018,29.987,66.36,50,99,5.93,ZA,1635414117
Creel,27.75,-107.6333,46.04,55,0,4.05,MX,1635414117
Pakur,24.6333,87.85,85.39,52,0,6.35,IN,1635414118
